NS_code_from_gini,Nation_State,T_HDI_Mean_plus_5,T_HDI_Trend_plus_5,T_State_Fail_yr_1,T_State_Fail_plus_5,T_State_Fail_yr_5,year0,CWGI_Poli_Stabl_Mean_minus_4,CWGI_Poli_Stabl_Trend_minus_4,CWGI_RoL_Mean_minus_4,CWGI_RoL_Trend_minus_4,E_GINI_Mean_minus_4,E_GINI_Trend_minus_4,PCPI_std_Mean_minus_4,PCPI_std_Trend_minus_4,PWGI_Corrupt_Ctrl_Mean_minus_4,PWGI_Corrupt_Ctrl_Trend_minus_4,PWGI_Voice_Acct_Mean_minus_4,PWGI_Voice_Acct_Trend_minus_4
GUY,Guyana,0.6685,0.0014,0,,,2015,-0.405420198,0.0132059,-0.55013083,-0.028682527,25.59846201,-1.294729525,-0.743275926,0.037509403,-0.687954195,-0.02051598,0.015513963,0.0027167
HTI,Haiti,0.501,0.002,1,1,,2015,-0.828239433,0.021370598,-1.301501384,0.042957614,53.65093595,1.147466628,-0.606454367,0.158410151,-1.223785862,-0.00395635,-0.797532124,-0.006753487
HND,Honduras,0.62125,0.0017,0,,,2015,-0.476432461,-0.034754503,-1.06245937,0.000991681,52.98,-1.89,-1.138440141,-0.117336791,-0.855503316,0.013674961,-0.482672504,0.003729411
HKG,"Hong Kong SAR, China",0.9365,0.0026,0,,,2015,1.011937399,0.061784817,1.671527202,0.090486724,48.52995345,-0.085023275,0.623596049,-0.323736923,1.753629039,0.005014895,0.623975062,0.020204091
HUN,Hungary,0.84225,0.0025,0,,,2015,0.702475826,-0.016965963,0.612844277,-0.026072702,30.56,0.25,-0.200014565,-0.085883148,0.24828283,-0.033266324,0.722052088,-0.039450417
ISL,Iceland,0.93575,0.0021,0,,,2015,1.234650834,0.001168688,1.697224544,0.023689948,26.38,-0.24,0.399856845,-0.387627704,1.916404052,0.015785284,1.438690451,-0.007167098
IND,India,0.6435,0.0034,0,,,2015,-1.18373249,0.04297076,-0.107481378,-0.002591178,34.64752421,-0.864926144,-0.755183292,-0.071320581,-0.539163418,0.017637299,0.416761039,0.010254692
IDN,Indonesia,0.7045,0.0024,0,,,2015,-0.546474547,0.068432038,-0.539557653,0.02817623,39.66,-0.02,1.093530891,0.444824882,-0.631396523,0.019638506,0.08000895,0.070042362
IRN,"Iran, Islamic Rep.",0.798,-0.0008,0,,,2015,-1.27096861,0.03867566,-0.976898428,-0.030658647,38.80580424,-0.028062971,1.349146845,0.473087412,-0.744633275,0.063596064,-1.617766345,-0.04575659
IRQ,Iraq,0.6835,0.0056,1,1,,2015,-2.151173065,-0.182976756,-1.500451709,-0.014718176,27.19285719,-1.261436566,0.489838389,0.396916279,-1.273052308,-0.035384116,-1.091717839,0.039217699
IRL,Ireland,0.93975,0.0021,0,,,2015,0.937445511,0.006117166,1.764147163,0.0148175,32.66,-0.35,-0.745683191,-0.611434296,1.549225263,0.029229192,1.329734985,0.009561245
ISR,Israel,0.9045,0.0014,0,,,2015,-1.113192912,0.001660423,0.968228715,-0.007574022,41.02,-0.62,-0.009250921,-0.186081277,0.765962432,-0.018947752,0.658562136,0.014294482
ITA,Italy,0.88125,0.0017,0,,,2015,0.457609082,-0.048488112,0.337860711,-0.043712099,35.06,0.01,0.214201391,0.120843898,-0.031335357,-0.036801234,0.928098594,0.016600661
